gat_no,village,scene_acquisition_date,observation_latency_days,cloud_coverage_pct,crop_age_days,stalk_maturity_gradient,ndvi,ndre,ndwi,lswi,evi,ndvi_max,ndvi_min,ndvi_amplitude,clear_scenes,sat_temp_celsius,sat_solar_radiation_kwh_m2,sat_humidity_pct
25016,Chapadgaon,2026-09-08,7,1.1,400,0.966,0.7,0.416,0.149,0.199,0.574,0.75,0.25,0.5,14,28.5,5.4,65.0
5324,Ghogegaon,2026-09-08,7,1.2,381,0.904,0.691,0.45,0.113,0.163,0.567,0.75,0.25,0.5,14,28.5,5.4,65.0
17,Samangaon,2026-09-08,7,2.8,427,0.903,0.69,0.363,0.078,0.128,0.566,0.75,0.25,0.5,14,28.5,5.4,65.0
27818,Dahiphal,2026-09-08,7,3.4,405,0.856,0.663,0.398,0.109,0.159,0.544,0.75,0.25,0.5,14,28.5,5.4,65.0
6494,Gadewadi,2026-09-08,7,2.7,404,0.923,0.683,0.377,0.114,0.164,0.56,0.75,0.25,0.5,14,28.5,5.4,65.0
24869,Shevgaon,2026-09-08,7,2.1,399,0.901,0.656,0.448,0.139,0.189,0.538,0.75,0.25,0.5,14,28.5,5.4,65.0
5050,Shehar Takli,2026-09-08,7,1.7,417,0.883,0.679,0.388,0.155,0.205,0.557,0.75,0.25,0.5,14,28.5,5.4,65.0
20122,Devgaon,2026-09-08,7,3.9,441,0.946,0.76,0.456,0.137,0.187,0.623,0.76,0.25,0.51,14,28.5,5.4,65.0
5154,Brahmarangaon,2026-09-08,7,3.6,335,0.831,0.715,0.441,0.146,0.196,0.587,0.75,0.25,0.5,14,28.5,5.4,65.0
22618,Nandur Shikari,2026-09-08,7,3.5,367,0.865,0.666,0.424,0.156,0.206,0.546,0.75,0.25,0.5,14,28.5,5.4,65.0
21258,Bhangalgaon,2026-09-08,7,3.4,349,0.897,0.693,0.468,0.221,0.271,0.568,0.75,0.25,0.5,14,28.5,5.4,65.0
25046,Banegaon,2026-09-08,7,0.7,349,0.904,0.712,0.431,0.145,0.195,0.584,0.75,0.25,0.5,14,28.5,5.4,65.0
3581,Dedgaon,2026-09-08,7,3.8,325,0.914,0.676,0.414,0.214,0.264,0.554,0.75,0.25,0.5,14,28.5,5.4,65.0
6185,Shirsagaon,2026-09-08,7,2.6,330,0.892,0.678,0.448,0.219,0.269,0.556,0.75,0.25,0.5,14,28.5,5.4,65.0
26409,Pimpari Shirsagaon,2026-09-08,7,0.6,327,0.893,0.719,0.497,0.12,0.17,0.589,0.75,0.25,0.5,14,28.5,5.4,65.0
1210,Ghogegaon,2026-09-08,7,1.4,320,0.861,0.663,0.481,0.217,0.267,0.544,0.75,0.25,0.5,14,28.5,5.4,65.0
114,Mukundpur,2026-09-08,7,3.9,340,0.84,0.779,0.434,0.166,0.216,0.639,0.779,0.25,0.529,14,28.5,5.4,65.0
12575,Bodhegaon,2026-09-08,7,1.2,330,0.873,0.74,0.485,0.198,0.248,0.607,0.75,0.25,0.5,14,28.5,5.4,65.0
3707,Antarwali,2026-09-08,7,1.3,348,0.847,0.724,0.479,0.169,0.219,0.594,0.75,0.25,0.5,14,28.5,5.4,65.0
7001,Sonavihir,2026-09-08,7,1.3,328,0.874,0.771,0.441,0.12,0.17,0.632,0.771,0.25,0.521,14,28.5,5.4,65.0
785,Takalvan,2026-09-08,7,2.4,321,0.876,0.706,0.426,0.185,0.235,0.579,0.75,0.25,0.5,14,28.5,5.4,65.0
14152,N. Babulgaon,2026-09-08,7,1.6,370,0.793,0.682,0.492,0.189,0.239,0.559,0.75,0.25,0.5,14,28.5,5.4,65.0
18912,Khamgaon Pimpri,2026-09-08,7,1.0,325,0.872,0.722,0.52,0.184,0.234,0.592,0.75,0.25,0.5,14,28.5,5.4,65.0
4998,Vadale Bu,2026-09-08,7,3.3,319,0.703,0.754,0.46,0.253,0.303,0.618,0.754,0.25,0.504,14,28.5,5.4,65.0
26027,Lolegaon,2026-09-08,7,2.8,328,0.804,0.752,0.423,0.232,0.282,0.616,0.752,0.25,0.502,14,28.5,5.4,65.0
1774,Kordgaon,2026-09-08,7,1.2,330,0.897,0.685,0.452,0.175,0.225,0.562,0.75,0.25,0.5,14,28.5,5.4,65.0
624,Erandgaon,2026-09-08,7,2.9,320,0.863,0.724,0.435,0.143,0.193,0.594,0.75,0.25,0.5,14,28.5,5.4,65.0
1120,Antarwali,2026-09-08,7,1.0,320,0.854,0.741,0.423,0.209,0.259,0.608,0.75,0.25,0.5,14,28.5,5.4,65.0
474,Telwadi,2026-09-08,7,3.5,348,0.811,0.689,0.44,0.214,0.264,0.565,0.75,0.25,0.5,14,28.5,5.4,65.0
2180,Bodkhe,2026-09-08,7,3.8,339,0.852,0.775,0.52,0.18,0.23,0.635,0.775,0.25,0.525,14,28.5,5.4,65.0
8088,Ghogegaon,2026-09-08,7,3.2,303,0.694,0.75,0.483,0.193,0.243,0.615,0.75,0.25,0.5,14,28.5,5.4,65.0
1946,Khuntephal,2026-09-08,7,0.5,291,0.802,0.765,0.497,0.237,0.287,0.627,0.765,0.25,0.515,14,28.5,5.4,65.0
1058,Dahiphal,2026-09-08,7,2.9,289,0.784,0.752,0.439,0.286,0.336,0.616,0.752,0.25,0.502,14,28.5,5.4,65.0
4797,Laxmipur,2026-09-08,7,3.3,305,0.703,0.769,0.431,0.207,0.257,0.631,0.769,0.25,0.519,14,28.5,5.4,65.0
1436,Khanapur,2026-09-08,7,0.8,291,0.85,0.779,0.472,0.255,0.305,0.638,0.779,0.25,0.529,14,28.5,5.4,65.0
15762,Dadegaon J,2026-09-08,7,2.8,264,0.748,0.685,0.437,0.256,0.306,0.562,0.75,0.25,0.5,14,28.5,5.4,65.0
6496,Vadale Ne,2026-09-08,7,1.2,316,0.85,0.741,0.504,0.222,0.272,0.607,0.75,0.25,0.5,14,28.5,5.4,65.0
4589,Nalewadi,2026-09-08,7,1.2,307,0.753,0.701,0.489,0.231,0.281,0.575,0.75,0.25,0.5,14,28.5,5.4,65.0
2605,Je ur Haibati,2026-09-08,7,4.1,305,0.756,0.731,0.481,0.244,0.294,0.599,0.75,0.25,0.5,14,28.5,5.4,65.0
25721,Mavasgavan,2026-09-08,7,1.7,304,0.743,0.722,0.483,0.261,0.311,0.592,0.75,0.25,0.5,14,28.5,5.4,65.0
7338,Mungi,2026-09-08,7,2.6,303,0.779,0.749,0.423,0.235,0.285,0.614,0.75,0.25,0.5,14,28.5,5.4,65.0
