farm_id,field_name,latitude,longitude,crop_age_days,soil_type,sat_ndvi,sat_temp_celsius,sat_solar_radiation_kwh_m2,sat_precipitation_mm,sat_humidity_pct,sat_diurnal_temp_range,sucrose_pct
SUG-101,Alpha Field Punjab,30.901,75.8573,320,Loam,0.78,32.4,7.2,0.1,45.2,12.5,14.85
SUG-102,Beta Plot Maharashtra,19.7515,75.7139,340,Black Soil,0.82,34.1,8.1,0.0,38.5,14.2,16.2
SUG-103,Gamma Plantation UP,26.8467,80.9462,290,Alluvial,0.68,29.8,6.4,2.5,62.1,9.8,12.4
SUG-104,Delta Estate Karnataka,15.3173,75.7139,360,Red Soil,0.85,31.5,7.8,0.2,42.0,13.1,16.85
SUG-105,Epsilon Agro Tamil Nadu,11.1271,78.6569,310,Clay Loam,0.74,33.8,7.9,0.0,50.4,11.4,14.1
SUG-106,Zeta Field Sao Paulo,-21.1704,-47.8103,350,Latosol,0.86,28.5,8.4,0.0,35.0,15.0,17.4
SUG-107,Eta Sugar Estate Queensland,-21.1411,149.1861,330,Sandy Loam,0.79,27.2,7.5,1.2,55.0,10.5,15.1
SUG-108,Theta Plantation Florida,26.6845,-80.6676,300,Muck Soil,0.71,29.1,6.8,4.1,68.0,8.4,12.9
SUG-109,Iota Farm Louisiana,29.9511,-90.0715,280,Silt Loam,0.65,28.0,6.1,5.2,72.0,7.9,11.8
SUG-110,Kappa Agri Veracruz,19.1738,-96.1342,345,Volcanic,0.83,30.2,7.6,0.3,48.0,12.8,15.9
