crop_age_days,sat_ndvi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,sat_humidity_pct,gdd,sucrose_pct
282.4,0.778,0.612,30.3,8.9,8.64,2.23,45.8,516.9,17.29
409.2,0.702,0.603,29.7,8.7,8.32,3.19,74.1,722.9,16.89
361.0,0.595,0.551,22.4,16.0,7.37,0.58,84.8,375.9,17.23
331.7,0.832,0.746,27.5,8.7,9.28,1.96,31.7,512.8,18.01
234.3,0.772,0.703,28.1,9.0,5.5,1.7,79.4,376.9,13.89
234.3,0.526,0.464,28.4,14.4,5.05,3.58,64.2,383.8,13.63
212.8,0.878,0.78,31.3,10.9,8.77,4.73,83.5,410.3,14.79
390.6,0.837,0.77,30.5,14.5,6.7,0.02,55.6,724.0,18.25
332.2,0.896,0.717,31.7,6.7,8.73,2.24,76.6,655.4,17.19
355.8,0.791,0.671,34.2,11.4,8.97,0.11,33.4,791.2,18.8
204.5,0.738,0.586,35.0,6.4,4.81,1.59,48.4,470.6,12.05
413.4,0.647,0.613,33.5,6.7,8.92,0.68,33.7,888.4,16.04
383.1,0.888,0.834,37.3,16.0,6.74,0.73,83.6,968.9,18.35
246.7,0.857,0.65,22.3,7.5,7.05,0.87,74.9,253.9,15.42
240.0,0.471,0.42,25.1,11.9,7.63,1.94,76.9,315.2,13.76
240.3,0.462,0.432,22.1,10.5,9.13,0.81,81.6,243.3,14.94
266.9,0.627,0.493,32.4,9.8,4.6,2.64,34.7,543.5,13.8
315.4,0.831,0.718,36.4,15.9,6.88,1.04,51.2,768.7,18.06
295.0,0.914,0.853,25.9,6.2,7.94,0.14,33.9,410.0,16.8
264.1,0.521,0.394,36.8,13.3,8.11,3.06,41.6,655.8,15.57
334.6,0.729,0.649,23.0,16.6,7.96,0.67,42.6,366.9,18.8
230.7,0.629,0.509,37.0,12.2,5.17,1.13,55.8,575.6,14.11
264.3,0.906,0.847,27.6,16.3,6.0,2.31,44.8,413.0,17.9
280.6,0.846,0.799,23.6,6.6,6.29,0.81,35.6,326.1,15.7
300.3,0.844,0.792,29.8,10.6,8.52,0.12,39.2,533.8,18.11
372.7,0.67,0.566,26.1,8.9,5.89,0.94,38.1,525.9,15.48
243.9,0.645,0.595,26.6,14.0,5.55,5.78,83.5,355.1,13.23
313.1,0.579,0.532,26.9,16.8,9.29,2.05,71.8,467.1,18.8
330.3,0.476,0.388,34.8,8.8,4.54,2.23,83.2,754.8,13.63
210.2,0.856,0.784,30.6,13.2,9.49,2.0,54.2,391.6,16.25
333.7,0.832,0.63,27.0,8.2,7.88,0.44,45.3,499.9,18.32
237.5,0.92,0.8,31.8,12.2,8.64,1.08,73.9,469.5,17.63
214.3,0.918,0.731,33.5,11.1,5.97,2.78,47.9,459.9,14.34
408.8,0.711,0.55,26.4,16.7,4.57,0.21,46.5,587.1,18.17
412.4,0.811,0.621,28.6,12.7,8.19,0.65,42.8,685.3,18.8
377.8,0.894,0.795,24.0,9.8,8.67,0.65,37.1,451.5,17.87
267.0,0.849,0.695,24.9,7.3,8.2,1.13,44.1,344.4,15.41
221.5,0.566,0.507,32.9,7.7,5.21,7.86,49.5,462.9,10.5
350.5,0.662,0.505,24.9,8.5,8.27,0.14,67.1,452.3,17.61
296.8,0.511,0.415,30.4,8.8,8.34,1.46,33.4,546.3,14.66
226.8,0.898,0.771,33.3,15.4,7.79,0.4,41.6,484.2,17.28
308.9,0.735,0.667,23.7,12.2,8.33,7.06,74.5,361.8,16.2
207.6,0.557,0.454,31.1,11.8,8.73,0.24,38.1,396.0,14.62
400.1,0.766,0.67,26.1,7.3,7.57,1.03,48.8,564.3,16.58
256.9,0.741,0.687,37.4,15.5,4.94,2.68,77.6,652.8,15.9
345.8,0.618,0.54,29.7,14.0,6.94,2.44,38.5,613.3,17.55
268.6,0.503,0.401,34.9,6.7,4.89,1.1,34.6,614.9,12.82
314.4,0.766,0.578,30.8,13.8,6.54,0.85,56.6,591.2,17.09
320.3,0.695,0.642,22.7,12.0,6.54,1.01,46.6,342.5,16.31
240.7,0.813,0.613,32.1,6.9,4.83,0.61,61.0,484.5,14.17
413.3,0.694,0.642,37.2,11.0,6.24,0.46,74.2,1042.5,17.61
370.5,0.851,0.728,31.6,11.3,5.05,1.32,37.5,727.2,16.88
406.7,0.709,0.665,35.1,7.8,8.54,0.63,61.9,939.7,17.19
396.9,0.714,0.649,36.1,16.4,9.24,0.68,57.8,958.3,18.58
331.5,0.862,0.819,25.6,15.3,4.86,2.14,37.9,452.5,18.32
402.8,0.64,0.525,25.4,13.4,9.28,6.92,64.3,539.5,17.03
219.5,0.513,0.463,31.8,11.1,7.11,1.85,45.1,434.0,13.8
243.1,0.464,0.385,28.6,10.5,6.0,0.16,56.8,403.0,15.05
210.0,0.805,0.681,35.4,13.2,4.88,0.16,34.5,492.1,13.81
271.6,0.742,0.649,36.4,12.0,7.0,6.05,55.3,662.6,14.62
285.5,0.781,0.722,27.7,6.7,8.47,0.71,46.9,447.0,15.84
259.7,0.55,0.521,25.8,11.6,8.04,0.19,75.2,358.1,16.52
382.3,0.514,0.465,34.5,14.9,4.75,1.83,33.1,859.8,15.23
278.5,0.457,0.381,26.4,11.1,4.86,1.95,53.0,400.9,14.43
261.8,0.615,0.513,35.2,6.6,6.51,2.09,55.2,606.4,14.74
319.4,0.727,0.653,28.8,14.6,5.98,0.62,69.9,535.9,17.5
231.0,0.634,0.506,32.7,8.2,5.66,0.03,61.6,477.7,14.12
376.5,0.656,0.506,23.5,8.8,5.91,6.71,66.7,434.0,13.71
216.4,0.875,0.718,32.0,7.8,8.52,0.58,72.7,432.4,14.31
417.1,0.614,0.496,29.2,9.6,9.15,2.25,77.4,718.6,17.43
369.9,0.692,0.56,31.4,14.3,6.53,2.45,47.3,717.1,17.61
243.7,0.818,0.652,24.7,11.7,9.03,1.88,59.6,309.2,16.59
201.2,0.636,0.483,33.8,8.3,6.11,0.75,76.2,438.4,12.17
379.4,0.742,0.559,35.8,15.7,6.88,0.63,84.4,903.2,17.08
355.5,0.855,0.81,25.5,15.7,5.63,1.82,78.9,478.8,17.51
360.4,0.896,0.749,23.5,15.6,7.7,4.02,50.4,415.6,18.8
369.7,0.519,0.429,22.4,8.6,9.39,5.86,40.7,383.7,14.2
216.3,0.885,0.784,32.3,11.0,7.52,0.22,56.9,438.5,15.87
278.9,0.681,0.541,31.7,16.8,6.29,0.34,70.8,549.7,18.28
225.5,0.571,0.537,30.7,14.5,7.74,5.79,57.1,422.7,12.95
389.9,0.666,0.604,25.7,6.3,5.11,2.67,56.6,534.6,14.8
337.1,0.911,0.699,28.3,6.7,8.94,4.29,76.1,548.0,17.95
272.8,0.682,0.568,31.5,11.1,7.02,0.45,49.9,532.3,16.67
214.0,0.605,0.56,29.9,16.0,6.75,1.77,77.3,384.1,15.73
268.4,0.748,0.702,37.8,11.9,7.43,2.42,52.4,692.6,15.68
271.5,0.563,0.475,24.2,11.5,7.62,2.28,48.1,330.8,16.07
360.5,0.486,0.424,33.1,7.2,4.86,1.05,55.0,761.5,13.92
340.3,0.511,0.4,28.5,13.2,7.91,0.03,71.9,560.4,17.84
395.2,0.51,0.484,28.9,15.0,5.71,1.75,36.9,665.9,16.33
303.9,0.521,0.415,33.5,10.2,8.07,0.58,40.8,652.8,15.53
226.3,0.515,0.484,33.1,14.5,8.61,1.2,82.3,477.0,15.06
356.9,0.751,0.661,37.9,16.6,8.52,6.32,39.7,923.0,16.49
367.4,0.535,0.467,24.1,8.2,7.26,1.02,61.2,442.8,15.67
323.5,0.612,0.522,23.7,11.8,7.1,3.66,61.9,377.4,16.6
369.6,0.871,0.694,33.6,9.2,5.21,0.42,56.9,798.0,17.44
308.6,0.673,0.528,31.3,14.7,8.38,2.23,65.5,594.3,18.37
315.0,0.764,0.606,26.4,12.4,5.86,7.55,42.6,453.2,15.41
294.1,0.531,0.418,23.3,13.0,6.98,0.21,60.4,331.4,16.82
205.6,0.54,0.49,23.4,14.8,5.92,0.02,50.5,233.8,13.54
223.7,0.469,0.385,36.3,10.4,5.17,1.14,66.4,543.8,12.32
206.9,0.529,0.403,25.1,16.1,7.65,0.19,37.8,270.4,15.37
340.0,0.581,0.548,27.2,11.9,4.77,2.76,61.4,515.9,16.05
269.2,0.533,0.494,25.6,7.7,8.24,4.92,40.2,366.8,14.71
311.9,0.492,0.46,27.7,13.7,6.09,1.14,45.3,489.0,15.79
399.7,0.507,0.481,23.1,14.7,4.5,0.6,42.0,444.1,15.12
254.8,0.667,0.523,30.3,9.5,7.06,1.14,40.1,466.5,15.52
290.3,0.547,0.454,23.1,15.4,4.73,2.57,75.4,321.7,15.86
366.2,0.621,0.56,34.8,16.0,5.88,0.02,45.7,835.2,18.7
250.3,0.687,0.611,25.7,9.0,8.03,1.78,81.0,343.9,14.83
216.9,0.774,0.605,30.6,16.8,4.81,1.9,83.3,404.4,14.54
263.7,0.468,0.428,36.1,7.5,8.7,2.03,61.4,635.1,14.62
235.5,0.826,0.656,32.4,8.2,4.52,0.55,37.9,480.7,14.12
404.5,0.745,0.592,30.5,8.0,5.73,2.5,50.6,749.5,15.62
377.8,0.488,0.419,27.2,15.8,8.2,0.19,73.9,573.8,17.73
339.3,0.861,0.747,27.3,13.2,6.08,0.44,50.2,520.2,18.8
391.7,0.883,0.765,32.7,7.7,5.01,4.2,34.8,811.3,16.28
376.8,0.479,0.368,37.9,10.8,6.3,2.68,60.6,976.2,14.9
241.0,0.58,0.537,32.6,12.8,5.85,0.03,76.5,496.3,15.73
396.4,0.829,0.666,30.9,6.9,8.71,0.57,73.8,750.1,17.62
318.7,0.802,0.622,33.7,15.7,6.07,0.48,39.6,691.2,18.8
377.6,0.537,0.498,29.4,14.8,8.44,0.63,67.0,658.7,17.43
397.1,0.548,0.516,23.0,11.6,8.96,0.57,42.1,435.4,17.16
270.0,0.624,0.576,31.0,16.6,6.67,0.13,42.0,512.8,17.03
224.2,0.678,0.618,37.3,10.6,9.05,1.23,78.1,567.7,14.97
250.1,0.741,0.652,24.8,16.8,6.39,2.64,43.7,320.3,15.53
294.0,0.623,0.536,33.0,13.3,9.32,1.87,44.5,618.5,17.88
380.0,0.667,0.512,25.2,13.0,4.95,2.23,30.0,502.1,15.43
389.4,0.801,0.666,30.6,7.8,7.94,0.17,77.9,723.2,18.37
201.5,0.467,0.385,23.5,15.7,6.97,6.05,73.6,232.7,11.96
312.4,0.569,0.456,29.2,10.7,6.44,3.65,64.5,537.5,15.55
291.8,0.785,0.703,34.1,7.8,7.66,3.27,71.3,644.9,15.96
248.9,0.871,0.739,27.6,6.1,8.02,3.46,38.4,387.3,15.2
226.4,0.69,0.529,32.6,12.2,4.52,5.4,55.2,467.2,13.14
274.3,0.7,0.556,34.7,11.8,5.33,1.57,49.3,623.4,14.33
407.4,0.5,0.444,36.8,13.9,8.07,0.45,35.2,1011.9,18.24
271.1,0.66,0.505,25.8,15.8,7.83,1.92,56.7,372.9,17.27
314.1,0.7,0.644,28.4,6.9,9.33,2.72,80.6,514.8,16.04
354.7,0.564,0.479,24.4,14.0,8.31,2.68,32.2,441.2,16.82
280.0,0.577,0.488,37.9,8.1,9.25,1.47,46.0,724.6,16.47
413.8,0.627,0.545,36.8,15.4,8.01,0.14,41.4,1027.5,18.31
411.7,0.459,0.42,30.6,15.0,5.99,0.93,43.1,767.5,15.47
255.4,0.601,0.493,35.5,11.9,5.03,5.07,80.0,599.5,13.66
309.4,0.549,0.487,30.3,13.8,8.41,1.76,55.7,567.3,17.19
266.2,0.604,0.521,32.0,9.5,7.72,1.55,55.6,531.8,14.84
262.7,0.506,0.407,23.4,11.2,4.74,0.63,71.8,300.1,14.05
208.1,0.869,0.804,34.1,15.0,6.3,0.92,38.5,459.6,14.49
334.1,0.729,0.663,24.0,11.1,9.28,4.51,56.8,402.4,18.36
310.6,0.769,0.678,35.2,9.9,7.0,2.2,53.6,721.1,17.14
211.3,0.821,0.755,34.5,11.4,6.66,3.1,62.8,475.7,14.56
261.3,0.684,0.632,33.3,15.1,6.79,1.21,85.0,557.6,16.54
399.8,0.491,0.438,22.6,9.7,5.54,1.99,72.3,423.0,15.62
252.7,0.702,0.644,26.9,7.9,6.34,0.57,51.9,375.3,14.48
231.9,0.726,0.646,26.2,13.8,6.35,2.44,75.5,329.5,14.6
307.7,0.8,0.709,27.8,15.1,4.76,1.12,39.4,485.0,17.18
416.8,0.653,0.57,23.4,7.1,8.34,1.17,31.7,475.3,17.06
253.3,0.51,0.459,37.0,8.6,6.58,2.1,41.2,632.9,13.44
347.9,0.583,0.456,30.9,7.6,8.61,5.51,48.7,656.1,14.4
367.6,0.621,0.575,26.9,9.8,8.75,0.13,58.1,547.2,17.81
252.3,0.754,0.697,28.4,11.0,5.56,3.48,63.8,412.5,15.01
360.2,0.718,0.543,29.2,14.2,7.79,0.69,80.1,617.9,17.5
280.9,0.617,0.565,31.6,13.2,6.86,1.17,58.0,550.9,16.64
339.1,0.914,0.709,30.3,12.8,8.9,0.04,57.6,618.9,18.8
339.4,0.735,0.6,36.7,9.9,5.58,0.72,32.8,838.6,16.11
317.9,0.561,0.505,30.0,15.3,7.89,1.4,31.9,570.6,16.89
219.9,0.498,0.389,37.9,11.2,7.54,0.12,60.3,568.9,13.56
383.8,0.522,0.477,35.6,16.8,5.98,1.35,54.1,906.6,16.8
270.6,0.566,0.518,25.3,13.0,5.18,5.24,76.2,360.8,14.09
241.0,0.526,0.447,36.9,7.4,7.76,0.22,38.8,599.9,14.67
209.0,0.538,0.404,23.9,13.4,8.19,2.89,31.4,247.9,13.95
330.0,0.584,0.472,35.1,9.6,6.08,1.05,54.7,761.6,15.17
349.1,0.531,0.464,28.1,13.5,7.72,2.13,43.1,561.6,16.28
203.6,0.871,0.825,36.0,6.8,6.48,0.6,32.7,489.7,13.55
312.7,0.488,0.427,35.9,7.9,8.07,0.35,69.9,746.9,16.46
249.8,0.697,0.559,34.9,15.4,5.5,0.35,36.1,572.0,15.69
341.9,0.643,0.564,34.6,8.5,8.95,0.15,63.5,774.2,18.21
238.4,0.912,0.782,26.9,15.2,5.94,0.41,45.5,354.6,17.41
352.0,0.503,0.455,23.3,9.1,6.34,2.18,39.5,397.6,15.69
285.1,0.637,0.491,28.4,13.1,4.79,4.27,50.9,468.9,14.82
406.1,0.906,0.817,24.8,13.6,5.06,3.37,74.1,518.8,16.88
230.3,0.857,0.735,33.1,11.6,7.08,2.31,51.6,486.3,15.41
275.0,0.834,0.786,27.5,9.4,5.84,0.23,71.3,427.3,16.76
225.0,0.571,0.467,37.6,8.3,8.68,0.68,36.9,576.1,14.73
403.4,0.53,0.465,32.3,6.4,4.57,0.74,72.5,817.2,14.24
393.0,0.764,0.716,35.2,9.3,6.4,0.58,43.0,910.2,16.28
256.7,0.887,0.683,24.1,13.2,6.19,1.45,67.3,311.2,16.06
345.2,0.712,0.667,35.8,16.3,4.6,1.53,61.1,821.3,17.49
379.8,0.719,0.638,36.8,15.6,5.12,0.88,81.1,940.5,16.61
322.1,0.582,0.444,29.8,14.4,6.57,0.87,51.3,573.2,17.41
316.5,0.812,0.658,31.7,14.7,6.96,3.53,33.6,623.6,17.93
253.2,0.538,0.48,34.2,13.3,6.52,3.11,31.1,563.1,15.67
220.5,0.602,0.46,24.8,8.9,7.15,0.74,75.5,282.2,13.77
397.4,0.65,0.563,30.0,16.0,7.48,4.9,58.9,716.9,17.79
398.1,0.689,0.564,28.4,13.4,4.55,6.11,72.6,652.0,14.46
339.3,0.564,0.493,24.3,12.2,6.82,0.79,42.9,418.7,16.09
274.6,0.504,0.383,27.9,7.2,9.32,0.88,49.0,436.1,15.28
276.8,0.737,0.681,23.1,10.9,7.1,1.41,31.7,307.0,16.25
359.7,0.586,0.553,22.4,11.1,7.89,5.66,82.9,374.6,14.79
397.4,0.723,0.683,24.2,15.5,6.06,4.18,66.7,483.3,17.41
395.2,0.523,0.47,37.4,12.0,8.37,0.22,81.3,1004.1,17.5
371.6,0.676,0.525,30.8,10.2,8.36,1.0,44.6,698.3,16.03
341.2,0.7,0.631,37.5,16.7,7.11,1.61,63.6,868.6,18.34
218.5,0.474,0.358,28.9,7.2,9.38,1.4,67.3,369.7,12.83
235.6,0.608,0.459,27.0,10.6,5.13,0.43,47.5,353.1,13.82
397.7,0.513,0.418,30.1,6.5,4.58,3.92,76.6,719.7,13.11
333.4,0.48,0.407,29.0,14.1,8.35,2.26,82.1,567.9,16.08
202.0,0.915,0.827,23.7,16.1,8.54,3.64,78.7,236.2,15.32
222.3,0.602,0.533,32.3,9.1,5.1,3.91,70.6,450.3,12.54
346.0,0.831,0.697,25.5,15.4,5.83,2.76,45.3,465.6,18.79
201.1,0.57,0.458,31.9,9.2,4.59,1.16,45.5,400.5,11.54
235.4,0.77,0.731,32.4,16.0,5.97,1.89,83.0,480.2,15.84
320.7,0.807,0.674,24.4,14.3,8.37,0.35,30.6,398.7,18.8
352.2,0.73,0.613,23.0,14.9,7.09,2.24,69.4,386.8,17.89
343.4,0.672,0.526,34.5,6.2,6.24,0.4,68.8,772.5,15.89
249.3,0.644,0.585,29.4,16.6,6.36,2.37,64.2,432.8,15.4
356.7,0.614,0.546,22.9,14.0,4.51,0.52,84.5,389.9,16.55
252.2,0.887,0.704,37.9,9.4,6.0,0.25,47.2,653.6,17.03
271.6,0.84,0.644,22.9,15.1,7.73,0.36,48.7,296.7,17.99
364.2,0.904,0.801,33.1,9.1,9.37,0.0,34.3,769.3,18.77
342.9,0.508,0.448,37.7,15.6,8.74,2.54,54.4,882.6,17.42
386.8,0.794,0.638,25.8,7.2,4.62,2.64,44.4,534.9,14.85
344.7,0.891,0.838,24.3,13.7,8.99,1.45,48.9,423.1,18.8
325.0,0.535,0.418,23.9,11.9,8.42,0.35,75.9,388.2,17.17
220.6,0.481,0.403,26.9,7.1,8.4,0.17,81.5,327.7,14.66
280.9,0.798,0.749,23.6,8.7,6.79,0.04,40.2,326.3,17.28
258.3,0.72,0.6,33.1,6.1,6.49,0.36,50.5,544.5,15.2
253.7,0.846,0.742,23.0,11.2,6.01,4.43,81.1,279.0,16.17
414.1,0.516,0.428,30.2,9.3,4.83,0.55,33.4,751.6,15.07
286.5,0.824,0.663,37.9,12.6,5.64,0.87,35.1,743.3,16.34
396.3,0.545,0.516,35.0,9.3,5.73,0.22,39.0,912.3,15.45
338.9,0.527,0.438,31.8,9.3,6.92,0.5,62.7,672.4,15.49
374.9,0.527,0.49,26.9,14.2,8.24,1.46,38.3,558.5,17.49
310.6,0.833,0.663,32.0,6.5,6.87,1.87,83.2,620.6,16.15
326.9,0.763,0.604,30.4,15.9,4.79,0.56,54.6,602.6,16.45
