crop_age_days,sat_ndvi,sat_ndre,sat_ndwi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,gdd,hydro_thermal_index,factory_sugar_recovery_pct
317.4,0.6412,0.3465,0.5654,0.5049,31.1,10.3,7.25,0.03,605.4,72.67,12.85
467.2,0.8981,0.5699,0.6803,0.9504,24.4,8.2,9.19,2.22,579.9,23.46,12.85
410.3,0.8712,0.3343,0.245,0.7976,34.2,11.7,7.62,0.28,911.5,69.43,12.85
375.7,0.7876,0.4019,0.5656,0.7061,30.6,8.0,7.42,0.07,698.1,55.73,12.85
260.6,0.7312,0.2508,0.2866,0.6211,24.2,15.4,7.05,1.59,317.9,41.9,12.32
260.6,0.6473,0.2623,0.379,0.518,35.5,8.7,5.94,2.23,611.6,15.91,11.62
235.1,0.7655,0.5111,0.7127,0.7708,29.3,9.3,5.02,2.52,405.7,13.21,11.53
445.2,0.754,0.4418,0.2641,0.6631,23.0,10.7,6.09,1.02,490.6,32.11,12.85
376.3,0.8598,0.3515,0.6581,0.9557,30.8,10.4,7.29,0.34,706.5,56.67,12.85
404.1,0.7213,0.5087,0.4623,0.718,25.5,14.2,6.71,2.0,547.3,31.6,12.85
225.4,0.7954,0.3518,0.6354,0.7771,33.3,11.1,7.02,1.8,478.9,27.79,11.18
472.2,0.7287,0.4329,0.2487,0.6027,33.4,8.5,9.41,0.42,1012.8,56.43,12.85
436.4,0.8447,0.3649,0.6761,0.8109,35.7,9.4,6.58,3.51,1034.6,13.73,12.85
275.2,0.7399,0.6274,0.5409,0.7263,29.0,11.6,7.03,0.17,468.6,69.92,12.85
267.3,0.7023,0.3559,0.3511,0.6115,28.4,8.3,5.6,6.08,437.5,6.58,11.2
267.7,0.7924,0.1134,0.2,0.6655,32.5,12.5,5.22,2.95,550.1,16.5,11.69
299.1,0.8817,0.4479,0.3571,0.9173,23.9,12.1,8.49,1.75,354.6,37.37,12.85
356.4,0.7681,0.6303,0.45,0.7777,29.7,13.4,7.57,4.19,629.4,19.59,12.85
332.3,0.7683,0.6258,0.4193,0.771,29.6,15.4,8.42,1.92,586.4,44.51,12.85
295.7,0.7884,0.3392,0.5347,0.6829,23.3,15.2,5.67,0.32,332.8,65.54,12.85
379.1,0.6922,0.5547,0.6041,0.6406,27.9,15.5,7.57,0.88,600.9,62.65,12.85
256.3,0.8326,0.5104,0.503,0.7534,33.9,9.2,6.14,0.11,562.4,50.86,12.85
296.0,0.7472,0.2252,0.4618,0.6407,34.0,8.2,6.03,0.74,650.7,28.33,12.37
315.3,0.72,0.4899,0.5961,0.7051,23.4,9.7,5.05,2.03,359.1,16.21,12.85
338.6,0.7558,0.4021,0.3999,0.6581,23.3,15.1,5.59,0.73,381.6,48.54,12.85
424.1,0.6982,0.1972,0.5771,0.5892,25.7,15.7,6.39,0.6,580.1,62.86,12.85
271.9,0.7177,0.3958,0.2537,0.5593,34.2,14.7,5.53,1.36,604.9,34.54,12.8
353.7,0.856,0.3476,0.6814,0.9379,23.8,8.0,9.44,3.09,417.5,18.45,12.85
374.0,0.7021,0.5219,0.6139,0.6689,32.1,15.5,6.39,0.07,751.0,92.44,12.85
232.1,0.8052,0.3081,0.5107,0.8031,23.4,10.8,5.59,0.73,264.9,34.9,11.23
378.0,0.7142,0.4201,0.4375,0.6815,30.7,7.1,5.9,0.26,707.7,33.19,12.85
264.3,0.7988,0.1794,0.2929,0.6905,27.0,11.0,7.64,1.78,396.1,30.17,12.18
236.9,0.8386,0.2355,0.4196,0.8217,33.0,7.4,5.29,0.17,498.6,33.58,11.21
466.7,0.8819,0.4315,0.599,0.8631,25.3,11.9,8.88,1.64,619.4,40.02,12.85
471.1,0.66,0.1169,0.3479,0.5169,30.9,10.0,9.33,0.51,892.6,62.23,12.85
430.2,0.8005,0.4289,0.6583,0.7685,25.3,11.3,6.11,0.33,572.1,51.63,12.85
299.2,0.7403,0.5216,0.6091,0.7425,32.0,12.5,7.03,4.13,598.1,17.14,12.85
245.4,0.7017,0.31,0.3876,0.5509,34.2,14.8,5.1,0.03,545.5,73.51,12.02
397.9,0.6216,0.3206,0.646,0.5051,23.8,13.0,7.88,0.86,468.5,54.8,12.85
334.4,0.8202,0.4466,0.5066,0.733,34.1,10.9,6.86,0.03,740.2,72.47,12.85
251.7,0.6342,0.2992,0.2482,0.5119,30.3,14.4,6.22,0.99,460.9,44.87,11.8
348.7,0.7557,0.4708,0.4235,0.7659,23.8,15.2,5.93,1.04,410.8,43.98,12.85
